WellheadPressure (psig),WellheadTemperature (deg F),DownholeGaugePressure (psig),DownholeGaugeTemperature (deg F),GasRate (MMscf/day),OilRate (STB/day),WaterRate (STB/day),WellUnstable (0/1)
1145.746582,105.8973694,1433.194946,202.9020386,5,250.1883392,2.988969803,1
1145.852173,113.0114746,1436.907227,202.885437,6.071402073,303.7987976,3.629446983,1
1145.44812,120.0209656,1442.485474,202.8705444,7.372383595,368.8968811,4.407166004,1
1145.348022,126.7267303,1451.810913,202.8567505,8.952139854,447.9442139,5.351534843,1
1145.370483,132.9810638,1465.817993,202.8439178,10.87040806,543.9298706,6.498263359,1
1145.805908,138.6204529,1486.381592,202.8313141,13.19972134,660.4832764,7.890712738,1
1145.713623,143.5276184,1514.429443,202.817749,16.0281601,802.0118408,9.581537247,0
1146.055054,147.6081848,1553.718628,202.8034821,19.46267891,973.8670654,11.63467121,0
1145.436523,150.7392883,1606.112061,202.7881165,23.63314629,1182.547607,14.1277523,0
1145.989136,152.9355774,1678.195923,202.7700653,28.69726563,1435.944336,17.15505219,0
1146.068237,153.9949341,1774.630981,202.7496185,34.84652329,1743.638916,20.83103943,0
1145.749512,153.7886963,1906.707275,202.7259369,42.31344986,2117.266357,25.29472351,0
1145.262817,152.289917,2079.129883,202.7011719,51.38038635,2570.954834,30.7148838,0
1145.726563,149.3511963,2301.775146,202.6780396,62.39018631,3121.859619,37.29647827,0
1145.798584,145.0385742,2584.028809,202.6581421,75.75917816,3790.812744,45.28837585,0
1145.740967,139.5391846,2938.562256,202.6413574,91.99288178,4603.109375,54.99278641,0
1145.693604,133.5839844,3381.768311,202.6584473,111.7051392,5589.464844,66.7766571,0
1145.576782,128.1726074,3940.515869,202.6762695,135.6413422,6787.176758,81.08557129,0
1145.618042,123.3244629,4650.266113,202.7137451,164.706604,8241.535156,98.46061707,0
1145.295288,119.078125,5579.647949,202.7211914,200,10007.53418,119.5587845,0
1145.746582,105.8973694,1433.194946,202.9020386,5,250.1883392,2.988969803,1
1145.852173,113.0114746,1436.907227,202.885437,6.071402073,303.7987976,3.629446983,1
1145.44812,120.0209656,1442.485474,202.8705444,7.372383595,368.8968811,4.407166004,1
1145.348022,126.7267303,1451.810913,202.8567505,8.952139854,447.9442139,5.351534843,1
1145.370483,132.9810638,1465.817993,202.8439178,10.87040806,543.9298706,6.498263359,1
1145.805908,138.6204529,1486.381592,202.8313141,13.19972134,660.4832764,7.890712738,1
1145.713623,143.5276184,1514.429443,202.817749,16.0281601,802.0118408,9.581537247,0
1146.055054,147.6081848,1553.718628,202.8034821,19.46267891,973.8670654,11.63467121,0
1145.436523,150.7392883,1606.112061,202.7881165,23.63314629,1182.547607,14.1277523,0
1145.989136,152.9355774,1678.195923,202.7700653,28.69726563,1435.944336,17.15505219,0
1146.068237,153.9949341,1774.630981,202.7496185,34.84652329,1743.638916,20.83103943,0
1145.749512,153.7886963,1906.707275,202.7259369,42.31344986,2117.266357,25.29472351,0
1145.262817,152.289917,2079.129883,202.7011719,51.38038635,2570.954834,30.7148838,0
1145.726563,149.3511963,2301.775146,202.6780396,62.39018631,3121.859619,37.29647827,0
1145.798584,145.0385742,2584.028809,202.6581421,75.75917816,3790.812744,45.28837585,0
1145.740967,139.5391846,2938.562256,202.6413574,91.99288178,4603.109375,54.99278641,0
1145.693604,133.5839844,3381.768311,202.6584473,111.7051392,5589.464844,66.7766571,0
1145.576782,128.1726074,3940.515869,202.6762695,135.6413422,6787.176758,81.08557129,0
1145.618042,123.3244629,4650.266113,202.7137451,164.706604,8241.535156,98.46061707,0
1145.295288,119.078125,5579.647949,202.7211914,200,10007.53418,119.5587845,0
